ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue; only if math-related),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
13,36:14:00,A2-2,L1-2,Robot,Can you name three different colors that are on the page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36:20:00,A2-2,L1-2,Child,"Red, yellow, blue, white, black.",,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
13,36:26:00,A2-2,L1-2,Parent,that's 5 colors.,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
13,36:28:00,A2-2,L1-2,Child,Blue.,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36:29:00,A2-2,L1-2,Parent,Dark blue. cool that's a lot of colors do wanna press answer and see what she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36:41:00,A2-2,L1-2,Robot,"3 colors that I see are yellow, blue and black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,46:49:00,A2-2,L4-1,Robot,How many pickles would be left on the pizza if Pete ate 2 of them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47:08:00,A2-2,L4-1,Robot,How many pickles would be left on the pizza if Pete ate 2 of them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47:13:00,A2-2,L4-1,Parent,on the pizza how many pickles will be left on the pizza if Pete ate 2 pickles off the pizza?,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
13,47:25:00,A2-2,L4-1,Child,7,,,,,,,,,1,,,1,7,,1,,,,,,,,1,,,,,,,,,,,,,
13,47:25:00,A2-2,L4-1,Robot,since there are 7 pickles on the pizza if Pete ate 2 there will be 5 left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47:31:00,A2-2,L4-1,Parent,"1, 2, 3, 4, 5. I'm saying if Pete ate two pickles. There would be 1, 2, 3, 4, 5 left on the pizza It's a party a party a pepperoni pretzel pistachio pickled popcorn pizza party. I want to ask is",,1,,,,,,,,,,,5,,1,,1,,,,,,1,,,1,,,,,,,,1,,
13,52:28:00,A2-3,L2-1,Robot,How many times did the little girl said go to the park?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,52:35:00,A2-3,L2-1,Parent,"Ready? Let's read and you keep track of how many times she says go to the park. I'm gonna read you keep track. You can keep track like that. Okay, go to the park. Bake snickerdoodles have a costume party. Go to the park to feed the ducks. Do yoga. Look at family pictures. Go to the park to swing play hide and seek make goofy hats. Go to the park to slide have a dancing puppet show. Read stacks of books go to the park to take pictures. do puzzles play cards how many go to the parks did I say How many is that?",1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
13,53:16:00,A2-3,L2-1,Child,5,,,,,,,,,1,,1,,5,,1,,1,,,,,,,,,,,,,,,,,,,
13,53:18:00,A2-3,L2-1,Parent,Let's ask let's see if that's correct push your bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,53:27:00,A2-3,L2-1,Child,5,,,,,,,,,1,,1,,5,,1,,1,,,,,,,,,,,,,,,,,,,
13,53:28:00,A2-3,L2-1,Robot,the little girl said go to the park for 5 times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,55:50:00,A2-3,L3-1,Robot,What do they have more of On the Table sausages or cupcakes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,55:57:00,A2-3,L3-1,Parent,Are there more sausages or more cupcakes on the table?,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
13,56:14:00,A2-3,L3-1,Child,More fries.,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
13,56:16:00,A2-3,L3-1,Robot,There are more sausages than cupcakes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,56:18:00,A2-3,L3-1,Parent,fries? that was a trick answer.when it starts to get dark outside take your grammar outside and find the first star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
